eid,start_date,end_date,city,dining_date,food_type,food_location,place_visit_date,place,people,action,emotion
e7,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/13,Chinese food,High Street Philly,2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e8,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/15,Chinese food,High Street Philly,2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e9,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/16,street food,Lunch Street,2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e10,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/17,Japanese food,High Street Philly,2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e11,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/18,Japanese food,Wood Street Pizza,2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e3384,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/02/25,Chinese food,Ratchawat Market,2011/03/01,National Museum & Wang Na Palace,Andrew,took a selfie,special
e3385,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/02/26,Italian food,Yaowarat,2011/03/01,National Museum & Wang Na Palace,Andrew,took a selfie,special
e3386,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/02/27,Japanese food,Yaowarat,2011/03/01,National Museum & Wang Na Palace,Andrew,took a selfie,special
e3387,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/02/28,Indian food,Ratchawat Market,2011/03/01,National Museum & Wang Na Palace,Andrew,took a selfie,special
e3388,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/03/01,Japanese food,Yaowarat,2011/03/01,National Museum & Wang Na Palace,Andrew,took a selfie,special
e3389,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/03/02,Chinese food,Victory Monument,2011/03/01,National Museum & Wang Na Palace,Andrew,took a selfie,special
e3390,2011/02/24,2011/03/06,"Bangkok, Thailand",2011/03/03,Chinese food,Ratchawat Market,2011/03/01,National Museum & Wang Na Palace,Andrew,took a selfie,special
