eid,date,mealtype,foodtype,people_string
e81,2010/01/03,dinner,chinese food,
e83,2010/01/05,breakfast,cereals,Emily
e86,2010/01/08,lunch,indian food,
e88,2010/01/09,breakfast,cereals,"Hazel, Rylee, Piper, Nora, Avery, Eva, Nevaeh, Claire, Lydia, Olivia, Layla, Kinsley"
e89,2010/01/09,lunch,sushi,
e90,2010/01/09,dinner,chinese food,"Kayden, Carter"
e93,2010/01/10,dinner,pasta,
e104,2010/01/21,breakfast,pancakes,
e105,2010/01/21,lunch,chinese food,
e109,2010/01/22,lunch,tacos,
e110,2010/01/22,dinner,chinese food,"Emily, Carter"
e112,2010/01/23,lunch,steak,"Kayden, Andrew, Emily, Carter"
e115,2010/01/25,breakfast,oatmeal,"Olivia, Piper, Avery, Nevaeh, Claire, Lydia, Nora, Piper, Rylee, Eva, Layla, Kinsley"
e116,2010/01/25,dinner,indian food,
e118,2010/01/26,dinner,chinese food,
e120,2010/01/27,breakfast,pancakes,"Kayden, Carter"
e124,2010/01/30,lunch,tacos,"Layla, Piper, Lydia, Eva, Claire, Rylee"
e125,2010/01/31,dinner,a burger,
e128,2010/02/06,breakfast,"eggs, sausages, and bread","Kayden, Emily"
e131,2010/02/07,breakfast,cereals,
e134,2010/02/09,breakfast,oatmeal,
e137,2010/02/11,lunch,tacos,"Emily, Carter, Andrew"
e141,2010/02/15,dinner,sandwich,"Piper, Lydia, Claire, Layla, Nora, Kinsley, Avery, Eva, Piper, Nevaeh, Hazel, Rylee"
e144,2010/02/19,dinner,sushi,
e146,2010/02/21,lunch,fish and chips,
e147,2010/02/21,dinner,sushi,"Rylee, Hazel, Piper, Nora, Layla"
e150,2010/02/22,lunch,a burger,"Emily, Kayden, Carter, Andrew"
e151,2010/02/23,lunch,steak,
e156,2010/02/26,dinner,indian food,
e159,2010/02/27,breakfast,pancakes,"Carter, Andrew, Emily, Kayden"
e160,2010/02/28,breakfast,pancakes,
e162,2010/03/01,lunch,chinese food,"Avery, Piper, Layla, Lydia, Eva"
e163,2010/03/01,dinner,fish and chips,
e165,2010/03/02,dinner,tacos,
e168,2010/03/04,dinner,steak,"Emily, Kayden, Carter, Andrew"
e170,2010/03/06,breakfast,cereals,
