eid,start_date,end_date,city,dining_date,food_type,food_location,place_visit_date,place,people,action,emotion
e7,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/13,Chinese food,High Street Philly,2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e8,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/15,Chinese food,High Street Philly,2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e9,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/16,street food,Lunch Street,2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e10,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/17,Japanese food,High Street Philly,2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e11,2010/02/12,2010/02/18,"Philadelphia, US",2010/02/18,Japanese food,Wood Street Pizza,2010/02/17,Independence Hall,"Carter, Kayden",recorded some videos,happy
e599,2011/05/08,2011/05/22,"London, UK",2011/05/09,Chinese food,Broadway Market,2011/05/13,Hyde Park,"Benjamin, Avery",took a selfie,special
e600,2011/05/08,2011/05/22,"London, UK",2011/05/10,Japanese food,Berwick Street Market,2011/05/13,Hyde Park,"Benjamin, Avery",took a selfie,special
e601,2011/05/08,2011/05/22,"London, UK",2011/05/11,Italian food,Berwick Street Market,2011/05/13,Hyde Park,"Benjamin, Avery",took a selfie,special
e602,2011/05/08,2011/05/22,"London, UK",2011/05/12,Italian food,Broadway Market,2011/05/13,Hyde Park,"Benjamin, Avery",took a selfie,special
e603,2011/05/08,2011/05/22,"London, UK",2011/05/14,Italian food,Broadway Market,2011/05/13,Hyde Park,"Benjamin, Avery",took a selfie,special
e604,2011/05/08,2011/05/22,"London, UK",2011/05/15,Indian food,Berwick Street Market,2011/05/13,Hyde Park,"Benjamin, Avery",took a selfie,special
e605,2011/05/08,2011/05/22,"London, UK",2011/05/17,Indian food,Bang Bang Oriental,2011/05/13,Hyde Park,"Benjamin, Avery",took a selfie,special
e606,2011/05/08,2011/05/22,"London, UK",2011/05/18,Chinese food,Bang Bang Oriental,2011/05/13,Hyde Park,"Benjamin, Avery",took a selfie,special
