eid,date,exercise,heart_rate
e127,2010/01/01,hiking,164
e133,2010/01/03,HIIT,142
e138,2010/01/04,swimming,144
e160,2010/01/10,HIIT,154
e163,2010/01/11,swimming,163
e178,2010/01/15,swimming,163
e181,2010/01/17,hiking,153
e188,2010/01/19,swimming,142
e197,2010/01/21,swimming,144
e206,2010/01/23,HIIT,162
e212,2010/01/25,running,143
e217,2010/01/27,running,158
e223,2010/01/29,swimming,129
e239,2010/02/02,running,136
e266,2010/02/08,HIIT,136
e277,2010/02/11,running,148
e307,2010/02/19,hiking,117
e310,2010/02/20,biking,120
e316,2010/02/22,hiking,132
e322,2010/02/24,HIIT,155
e334,2010/02/27,hiking,114
e338,2010/02/28,weight lifting,128
e343,2010/03/01,HIIT,111
e350,2010/03/03,biking,156
e354,2010/03/04,hiking,164
e359,2010/03/05,hiking,118
e372,2010/03/08,HIIT,146
e385,2010/03/11,running,160
e400,2010/03/14,hiking,153
e405,2010/03/15,running,126
e413,2010/03/18,HIIT,142
e415,2010/03/19,running,131
e429,2010/03/22,biking,159
e435,2010/03/23,hiking,154
e450,2010/03/26,running,141
e456,2010/03/27,biking,137
e461,2010/03/28,hiking,137
e471,2010/03/30,biking,143
e481,2010/04/01,HIIT,164
e491,2010/04/04,biking,153
e497,2010/04/05,swimming,128
e503,2010/04/07,hiking,154
e519,2010/04/11,swimming,150
e523,2010/04/12,swimming,134
e537,2010/04/15,weight lifting,158
e539,2010/04/16,biking,156
e549,2010/04/18,hiking,150
e567,2010/04/22,hiking,132
e575,2010/04/24,weight lifting,124
e581,2010/04/26,HIIT,159
e584,2010/04/27,hiking,129
e591,2010/04/29,swimming,135
e603,2010/05/02,hiking,152
e608,2010/05/04,hiking,149
e626,2010/05/10,swimming,139
e639,2010/05/13,weight lifting,129
e644,2010/05/14,weight lifting,118
e668,2010/05/22,HIIT,150
e675,2010/05/23,hiking,155
e680,2010/05/24,hiking,133
e684,2010/05/25,HIIT,160
e694,2010/05/28,running,137
e697,2010/05/29,HIIT,121
e705,2010/05/31,biking,144
e706,2010/06/01,hiking,141
e707,2010/06/02,HIIT,124
e711,2010/06/03,biking,158
e717,2010/06/05,biking,165
e722,2010/06/06,HIIT,151
e734,2010/06/09,biking,132
e755,2010/06/15,hiking,161
e763,2010/06/17,running,159
e771,2010/06/19,biking,165
e777,2010/06/20,HIIT,154
e784,2010/06/22,swimming,164
e794,2010/06/25,weight lifting,132
e798,2010/06/26,weight lifting,154
e804,2010/06/27,biking,131
e817,2010/07/01,biking,159
e819,2010/07/02,swimming,148
e821,2010/07/03,running,136
e826,2010/07/05,weight lifting,107
e831,2010/07/06,biking,123
e836,2010/07/08,biking,155
e841,2010/07/09,HIIT,128
e845,2010/07/10,HIIT,154
e849,2010/07/11,biking,139
e863,2010/07/15,running,155
e874,2010/07/17,biking,104
e899,2010/07/25,running,147
e906,2010/07/27,swimming,165
e910,2010/07/28,HIIT,165
e915,2010/07/29,hiking,149
e922,2010/07/30,weight lifting,144
e926,2010/07/31,weight lifting,161
e930,2010/08/01,swimming,135
e933,2010/08/02,hiking,120
e939,2010/08/03,HIIT,140
e949,2010/08/05,swimming,112
e957,2010/08/07,running,93
e963,2010/08/08,running,113
e968,2010/08/09,running,144
e972,2010/08/10,running,161
e975,2010/08/11,swimming,155
e987,2010/08/16,hiking,154
e989,2010/08/17,swimming,134
e993,2010/08/18,swimming,109
e998,2010/08/19,hiking,147
e1003,2010/08/21,swimming,155
e1008,2010/08/22,biking,103
e1011,2010/08/23,biking,153
e1024,2010/08/27,swimming,147
e1031,2010/08/29,running,135
e1043,2010/09/02,hiking,147
e1047,2010/09/03,swimming,155
e1052,2010/09/04,running,149
e1057,2010/09/05,hiking,136
e1062,2010/09/06,hiking,147
e1070,2010/09/08,weight lifting,146
e1073,2010/09/09,HIIT,114
e1078,2010/09/10,swimming,161
e1083,2010/09/11,running,104
e1096,2010/09/14,running,149
e1101,2010/09/15,biking,130
e1105,2010/09/16,biking,154
e1111,2010/09/17,hiking,162
e1114,2010/09/18,weight lifting,150
e1125,2010/09/21,running,128
e1129,2010/09/22,weight lifting,123
e1136,2010/09/24,hiking,155
e1140,2010/09/25,running,152
e1144,2010/09/26,hiking,110
e1149,2010/09/27,running,165
e1157,2010/09/29,swimming,126
e1167,2010/10/02,HIIT,151
e1171,2010/10/03,weight lifting,143
e1185,2010/10/07,hiking,147
e1191,2010/10/09,hiking,148
e1197,2010/10/11,biking,140
e1199,2010/10/12,HIIT,155
e1202,2010/10/13,weight lifting,123
e1209,2010/10/15,running,149
e1213,2010/10/16,weight lifting,153
e1217,2010/10/17,HIIT,118
e1235,2010/10/22,swimming,144
e1248,2010/10/25,running,126
e1251,2010/10/26,swimming,165
e1260,2010/10/29,HIIT,131
e1263,2010/10/30,hiking,119
e1268,2010/10/31,weight lifting,158
e1286,2010/11/04,running,156
e1291,2010/11/05,HIIT,123
e1294,2010/11/06,weight lifting,146
e1301,2010/11/07,HIIT,116
e1311,2010/11/10,HIIT,141
e1316,2010/11/12,hiking,135
e1321,2010/11/13,hiking,134
e1329,2010/11/16,hiking,123
e1344,2010/11/20,HIIT,124
e1348,2010/11/21,HIIT,111
e1354,2010/11/22,hiking,144
e1359,2010/11/23,running,149
e1369,2010/11/26,running,140
e1379,2010/11/28,running,148
e1382,2010/11/29,swimming,139
e1394,2010/12/02,hiking,155
e1397,2010/12/03,HIIT,158
e1403,2010/12/05,weight lifting,153
e1413,2010/12/07,swimming,115
e1424,2010/12/10,running,146
e1440,2010/12/14,running,148
e1459,2010/12/18,weight lifting,156
e1468,2010/12/20,HIIT,125
e1473,2010/12/21,HIIT,152
e1478,2010/12/22,swimming,148
e1495,2010/12/26,swimming,152
e1503,2010/12/29,swimming,118
e1508,2010/12/30,swimming,158
e1660,2011/01/04,HIIT,115
e1664,2011/01/05,swimming,118
e1668,2011/01/06,HIIT,141
